name,positions,age,team,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,Year,FG%,games_played
Greg Monroe,CENTER,28,PHILADELPHIA 76ERS,1,1,10,11,4,9,7,1,0,1,5,41,2019,0.6,3
Greg Monroe,CENTER,28,PHILADELPHIA 76ERS,1,1,10,11,4,9,7,1,0,1,5,41,2019,0.652,3
E'Twaun Moore,SHOOTING GUARD,29,NEW ORLEANS PELICANS,76,176,45,59,35,92,102,40,8,59,112,633,2019,0.481,53
Eric Moreland,POWER FORWARD,27,PHOENIX SUNS,0,0,0,0,0,3,0,0,0,0,1,0,2019,0.429,1
Eric Moreland,POWER FORWARD,27,PHOENIX SUNS,0,0,0,0,0,3,0,0,0,0,1,0,2019,,1
Eric Moreland,POWER FORWARD,27,PHOENIX SUNS,0,0,0,0,0,3,0,0,0,0,1,0,2019,0.429,1
Eric Moreland,POWER FORWARD,27,TORONTO RAPTORS,1,1,0,0,4,13,4,1,1,5,8,7,2019,0.429,4
Eric Moreland,POWER FORWARD,27,TORONTO RAPTORS,1,1,0,0,4,13,4,1,1,5,8,7,2019,,4
Eric Moreland,POWER FORWARD,27,TORONTO RAPTORS,1,1,0,0,4,13,4,1,1,5,8,7,2019,0.429,4
Jaylen Morris,SHOOTING GUARD,23,MILWAUKEE BUCKS,1,3,1,2,0,5,4,2,0,1,1,10,2019,0.4,4
Marcus Morris,POWER FORWARD,29,BOSTON CELTICS,146,389,146,173,76,382,109,43,25,92,181,1046,2019,0.447,75
Markieff Morris,POWER FORWARD,29,WASHINGTON WIZARDS,48,144,57,73,41,133,60,25,20,47,117,391,2019,0.421,34
Markieff Morris,POWER FORWARD,29,WASHINGTON WIZARDS,48,144,57,73,41,133,60,25,20,47,117,391,2019,0.436,34
Markieff Morris,POWER FORWARD,29,WASHINGTON WIZARDS,48,144,57,73,41,133,60,25,20,47,117,391,2019,0.391,34
Markieff Morris,POWER FORWARD,29,OKLAHOMA CITY THUNDER,20,59,14,19,20,71,19,11,2,7,58,156,2019,0.421,24
Markieff Morris,POWER FORWARD,29,OKLAHOMA CITY THUNDER,20,59,14,19,20,71,19,11,2,7,58,156,2019,0.436,24
Markieff Morris,POWER FORWARD,29,OKLAHOMA CITY THUNDER,20,59,14,19,20,71,19,11,2,7,58,156,2019,0.391,24
Monte Morris,POINT GUARD,23,DENVER NUGGETS,94,227,65,81,35,159,297,73,4,52,102,851,2019,0.493,82
Donatas Motiejūnas,POWER FORWARD,28,SAN ANTONIO SPURS,0,0,0,2,2,1,1,0,1,3,6,6,2019,0.5,3
Johnathan Motley,POWER FORWARD,23,LOS ANGELES CLIPPERS,0,3,24,40,18,33,11,5,3,16,27,102,2019,0.534,22
Emmanuel Mudiay,POINT GUARD,22,NEW YORK KNICKS,69,210,144,186,33,163,228,43,19,140,103,873,2019,0.446,59
Jamal Murray,POINT GUARD,21,DENVER NUGGETS,152,414,189,223,65,252,363,67,27,158,153,1367,2019,0.437,75
Džanan Musa,SHOOTING GUARD,19,BROOKLYN NETS,1,10,0,2,1,4,2,2,0,4,1,19,2019,0.409,9
Mike Muscala,POWER FORWARD,27,PHILADELPHIA 76ERS,68,199,63,77,51,149,62,18,27,43,112,349,2019,0.402,47
Mike Muscala,POWER FORWARD,27,PHILADELPHIA 76ERS,68,199,63,77,51,149,62,18,27,43,112,349,2019,0.392,47
Mike Muscala,POWER FORWARD,27,PHILADELPHIA 76ERS,68,199,63,77,51,149,62,18,27,43,112,349,2019,0.434,47
Mike Muscala,POWER FORWARD,27,LOS ANGELES LAKERS,21,57,7,8,6,38,14,4,11,5,18,100,2019,0.402,17
Mike Muscala,POWER FORWARD,27,LOS ANGELES LAKERS,21,57,7,8,6,38,14,4,11,5,18,100,2019,0.392,17
Mike Muscala,POWER FORWARD,27,LOS ANGELES LAKERS,21,57,7,8,6,38,14,4,11,5,18,100,2019,0.434,17
Svi Mykhailiuk,SMALL FORWARD,21,LOS ANGELES LAKERS,27,85,12,20,8,26,33,13,1,20,25,127,2019,0.329,39
Svi Mykhailiuk,SMALL FORWARD,21,LOS ANGELES LAKERS,27,85,12,20,8,26,33,13,1,20,25,127,2019,0.333,39
Svi Mykhailiuk,SMALL FORWARD,21,LOS ANGELES LAKERS,27,85,12,20,8,26,33,13,1,20,25,127,2019,0.25,39
Svi Mykhailiuk,SMALL FORWARD,21,DETROIT PISTONS,2,4,0,0,1,1,4,1,0,1,0,6,2019,0.329,3
Svi Mykhailiuk,SMALL FORWARD,21,DETROIT PISTONS,2,4,0,0,1,1,4,1,0,1,0,6,2019,0.333,3
Svi Mykhailiuk,SMALL FORWARD,21,DETROIT PISTONS,2,4,0,0,1,1,4,1,0,1,0,6,2019,0.25,3
Abdel Nader,SMALL FORWARD,25,OKLAHOMA CITY THUNDER,32,100,27,36,14,102,20,20,12,26,68,241,2019,0.423,61
Larry Nance Jr.,CENTER,26,CLEVELAND CAVALIERS,33,98,96,134,168,384,214,100,40,97,192,627,2019,0.52,67
Shabazz Napier,POINT GUARD,27,BROOKLYN NETS,76,228,115,138,18,82,143,41,16,66,67,529,2019,0.389,56
Raul Neto,POINT GUARD,26,UTAH JAZZ,20,60,28,33,6,56,93,14,4,35,49,196,2019,0.46,37
Georges Niang,POWER FORWARD,25,UTAH JAZZ,43,105,20,24,11,76,35,10,6,23,57,235,2019,0.475,59
Joakim Noah,CENTER,33,MEMPHIS GRIZZLIES,0,1,78,109,58,180,89,20,31,50,96,298,2019,0.516,42
Nerlens Noel,CENTER,24,OKLAHOMA CITY THUNDER,0,0,54,79,127,198,45,66,96,48,166,378,2019,0.587,77
Dirk Nowitzki,POWER FORWARD,40,DALLAS MAVERICKS,64,205,39,50,5,153,35,9,18,18,76,373,2019,0.359,51
Frank Ntilikina,POINT GUARD,20,NEW YORK KNICKS,33,115,23,30,12,75,121,30,14,56,104,246,2019,0.337,43
James Nunnally,SMALL FORWARD,28,MINNESOTA TIMBERWOLVES,5,13,4,4,0,4,5,1,0,1,4,27,2019,0.353,13
James Nunnally,SMALL FORWARD,28,MINNESOTA TIMBERWOLVES,5,13,4,4,0,4,5,1,0,1,4,27,2019,0.429,13
James Nunnally,SMALL FORWARD,28,MINNESOTA TIMBERWOLVES,5,13,4,4,0,4,5,1,0,1,4,27,2019,0.231,13
James Nunnally,SMALL FORWARD,28,HOUSTON ROCKETS,3,12,0,0,0,1,2,0,0,0,6,9,2019,0.353,2
James Nunnally,SMALL FORWARD,28,HOUSTON ROCKETS,3,12,0,0,0,1,2,0,0,0,6,9,2019,0.429,2
James Nunnally,SMALL FORWARD,28,HOUSTON ROCKETS,3,12,0,0,0,1,2,0,0,0,6,9,2019,0.231,2
Jusuf Nurkić,CENTER,24,PORTLAND TRAIL BLAZERS,3,29,282,365,243,505,233,71,103,168,250,1125,2019,0.508,72
David Nwaba,SMALL FORWARD,26,CLEVELAND CAVALIERS,24,75,58,85,41,122,54,36,17,29,106,334,2019,0.481,51
Royce O'Neale,SMALL FORWARD,25,UTAH JAZZ,68,176,32,42,22,263,124,54,24,70,172,426,2019,0.475,82
Kyle O'Quinn,CENTER,28,INDIANA PACERS,1,12,17,21,29,90,56,9,25,31,68,156,2019,0.507,45
Semi Ojeleye,POWER FORWARD,24,BOSTON CELTICS,28,89,24,39,24,62,23,10,4,19,43,186,2019,0.424,56
Jahlil Okafor,CENTER,23,NEW ORLEANS PELICANS,1,5,59,89,82,196,40,15,40,52,96,484,2019,0.586,59
Elie Okobo,POINT GUARD,21,PHOENIX SUNS,39,132,37,47,12,86,127,32,7,69,109,304,2019,0.393,53
Josh Okogie,SHOOTING GUARD,20,MINNESOTA TIMBERWOLVES,60,215,118,162,41,177,91,88,33,63,166,570,2019,0.386,74
Victor Oladipo,SHOOTING GUARD,26,INDIANA PACERS,74,216,103,141,21,181,186,60,11,82,72,675,2019,0.423,36
Kelly Olynyk,POWER FORWARD,27,MIAMI HEAT,113,319,152,185,72,303,140,53,37,114,183,787,2019,0.463,79
Cedi Osman,SMALL FORWARD,23,CLEVELAND CAVALIERS,130,374,141,181,45,312,195,60,11,114,195,991,2019,0.427,76
Kelly Oubre Jr.,SMALL FORWARD,23,WASHINGTON WIZARDS,41,132,68,85,24,105,20,27,20,30,71,373,2019,0.445,29
Kelly Oubre Jr.,SMALL FORWARD,23,WASHINGTON WIZARDS,41,132,68,85,24,105,20,27,20,30,71,373,2019,0.433,29
Kelly Oubre Jr.,SMALL FORWARD,23,WASHINGTON WIZARDS,41,132,68,85,24,105,20,27,20,30,71,373,2019,0.453,29
Kelly Oubre Jr.,SMALL FORWARD,23,PHOENIX SUNS,67,206,121,159,47,149,64,57,39,73,110,674,2019,0.445,40
Kelly Oubre Jr.,SMALL FORWARD,23,PHOENIX SUNS,67,206,121,159,47,149,64,57,39,73,110,674,2019,0.433,40
Kelly Oubre Jr.,SMALL FORWARD,23,PHOENIX SUNS,67,206,121,159,47,149,64,57,39,73,110,674,2019,0.453,40
Zaza Pachulia,CENTER,34,DETROIT PISTONS,0,4,97,124,99,166,91,31,17,57,151,267,2019,0.44,68
Jabari Parker,POWER FORWARD,23,CHICAGO BULLS,37,114,79,108,41,200,84,23,14,84,87,556,2019,0.493,39
Jabari Parker,POWER FORWARD,23,CHICAGO BULLS,37,114,79,108,41,200,84,23,14,84,87,556,2019,0.474,39
Jabari Parker,POWER FORWARD,23,CHICAGO BULLS,37,114,79,108,41,200,84,23,14,84,87,556,2019,0.523,39
Jabari Parker,POWER FORWARD,23,WASHINGTON WIZARDS,24,81,52,76,38,142,68,23,16,67,58,374,2019,0.493,25
Jabari Parker,POWER FORWARD,23,WASHINGTON WIZARDS,24,81,52,76,38,142,68,23,16,67,58,374,2019,0.474,25
Jabari Parker,POWER FORWARD,23,WASHINGTON WIZARDS,24,81,52,76,38,142,68,23,16,67,58,374,2019,0.523,25
Tony Parker,POINT GUARD,36,CHARLOTTE HORNETS,13,51,91,124,14,69,207,21,7,75,53,530,2019,0.46,56
Chandler Parsons,SMALL FORWARD,30,MEMPHIS GRIZZLIES,29,94,22,25,4,66,43,19,5,32,45,187,2019,0.374,25
Patrick Patterson,POWER FORWARD,29,OKLAHOMA CITY THUNDER,46,137,19,30,42,105,31,16,13,22,46,229,2019,0.374,63
Justin Patton,CENTER,21,PHILADELPHIA 76ERS,0,2,1,2,2,4,3,2,0,0,5,5,2019,0.286,3
Chris Paul,POINT GUARD,33,HOUSTON ROCKETS,127,355,175,203,36,229,473,114,18,152,146,906,2019,0.419,58
Cameron Payne,POINT GUARD,24,CHICAGO BULLS,16,59,22,25,10,43,83,20,6,34,49,176,2019,0.43,31
Cameron Payne,POINT GUARD,24,CHICAGO BULLS,16,59,22,25,10,43,83,20,6,34,49,176,2019,0.411,31
Cameron Payne,POINT GUARD,24,CHICAGO BULLS,16,59,22,25,10,43,83,20,6,34,49,176,2019,0.491,31
Cameron Payne,POINT GUARD,24,CLEVELAND CAVALIERS,9,25,11,16,3,16,23,8,3,11,15,74,2019,0.43,9
Cameron Payne,POINT GUARD,24,CLEVELAND CAVALIERS,9,25,11,16,3,16,23,8,3,11,15,74,2019,0.411,9
Cameron Payne,POINT GUARD,24,CLEVELAND CAVALIERS,9,25,11,16,3,16,23,8,3,11,15,74,2019,0.491,9
Elfrid Payton,POINT GUARD,24,NEW ORLEANS PELICANS,33,105,55,74,49,171,320,44,17,112,81,446,2019,0.434,42
Gary Payton II,POINT GUARD,26,WASHINGTON WIZARDS,1,2,0,0,1,1,4,3,1,1,2,11,2019,0.625,3
Theo Pinson,SHOOTING GUARD,23,BROOKLYN NETS,12,46,19,22,4,32,21,6,0,18,15,81,2019,0.342,18
Mason Plumlee,CENTER,28,DENVER NUGGETS,2,10,111,198,165,359,243,66,76,126,252,637,2019,0.593,82
Miles Plumlee,CENTER,30,ATLANTA HAWKS,0,0,16,30,16,23,17,6,4,10,14,80,2019,0.667,18
Jakob Poeltl,CENTER,23,SAN ANTONIO SPURS,0,0,49,92,178,232,93,29,68,48,124,423,2019,0.645,77
Quincy Pondexter,SMALL FORWARD,30,SAN ANTONIO SPURS,6,18,34,42,8,38,24,11,1,13,24,98,2019,0.5,53
Otto Porter Jr.,SMALL FORWARD,25,WASHINGTON WIZARDS,65,176,49,64,40,191,80,64,22,40,79,518,2019,0.465,41
Otto Porter Jr.,SMALL FORWARD,25,WASHINGTON WIZARDS,65,176,49,64,40,191,80,64,22,40,79,518,2019,0.457,41
Otto Porter Jr.,SMALL FORWARD,25,WASHINGTON WIZARDS,65,176,49,64,40,191,80,64,22,40,79,518,2019,0.483,41
Otto Porter Jr.,SMALL FORWARD,25,CHICAGO BULLS,39,80,29,32,14,69,40,18,9,25,29,262,2019,0.465,15
Otto Porter Jr.,SMALL FORWARD,25,CHICAGO BULLS,39,80,29,32,14,69,40,18,9,25,29,262,2019,0.457,15
Otto Porter Jr.,SMALL FORWARD,25,CHICAGO BULLS,39,80,29,32,14,69,40,18,9,25,29,262,2019,0.483,15
Bobby Portis,POWER FORWARD,23,CHICAGO BULLS,27,72,39,50,46,115,29,11,8,29,61,310,2019,0.444,22
Bobby Portis,POWER FORWARD,23,CHICAGO BULLS,27,72,39,50,46,115,29,11,8,29,61,310,2019,0.45,22
Bobby Portis,POWER FORWARD,23,CHICAGO BULLS,27,72,39,50,46,115,29,11,8,29,61,310,2019,0.44,22
Bobby Portis,POWER FORWARD,23,WASHINGTON WIZARDS,48,119,38,47,63,179,43,24,12,45,84,400,2019,0.444,28
Bobby Portis,POWER FORWARD,23,WASHINGTON WIZARDS,48,119,38,47,63,179,43,24,12,45,84,400,2019,0.45,28
Bobby Portis,POWER FORWARD,23,WASHINGTON WIZARDS,48,119,38,47,63,179,43,24,12,45,84,400,2019,0.44,28
Dwight Powell,CENTER,27,DALLAS MAVERICKS,39,127,196,254,140,271,112,44,50,67,201,815,2019,0.597,77
Norman Powell,SHOOTING GUARD,25,TORONTO RAPTORS,68,170,62,75,16,123,91,39,13,65,96,516,2019,0.483,60
Alex Poythress,POWER FORWARD,25,ATLANTA HAWKS,9,23,18,29,29,47,17,4,10,13,47,107,2019,0.494,21
Taurean Prince,SMALL FORWARD,24,ATLANTA HAWKS,123,315,95,116,22,177,118,53,19,100,141,742,2019,0.441,55
Zhou Qi,POWER FORWARD,23,HOUSTON ROCKETS,0,0,0,0,0,0,0,0,0,0,0,2,2019,1.0,1
Ivan Rabb,POWER FORWARD,21,MEMPHIS GRIZZLIES,3,15,49,69,70,136,54,17,14,35,90,284,2019,0.547,49
Chasson Randle,POINT GUARD,25,WASHINGTON WIZARDS,46,115,43,62,10,46,97,25,3,43,91,271,2019,0.419,49
Julius Randle,POWER FORWARD,24,NEW ORLEANS PELICANS,67,195,356,487,162,472,229,52,45,208,246,1565,2019,0.524,73
J.J. Redick,SHOOTING GUARD,34,PHILADELPHIA 76ERS,240,605,228,255,20,166,206,32,17,101,129,1372,2019,0.44,76
Davon Reed,SHOOTING GUARD,23,INDIANA PACERS,2,4,0,0,2,4,3,1,0,1,3,12,2019,0.417,10
Cameron Reynolds,SHOOTING GUARD,23,MINNESOTA TIMBERWOLVES,21,51,8,9,4,27,13,6,2,5,26,95,2019,0.423,19
Josh Richardson,SHOOTING GUARD,25,MIAMI HEAT,164,460,199,231,54,209,298,79,34,113,200,1209,2019,0.412,73
Malachi Richardson,SHOOTING GUARD,23,TORONTO RAPTORS,8,25,4,5,2,11,0,1,0,8,13,30,2019,0.31,22
Austin Rivers,SHOOTING GUARD,26,WASHINGTON WIZARDS,33,106,25,46,10,61,58,18,10,36,72,210,2019,0.406,29
Austin Rivers,SHOOTING GUARD,26,WASHINGTON WIZARDS,33,106,25,46,10,61,58,18,10,36,72,210,2019,0.392,29
Austin Rivers,SHOOTING GUARD,26,WASHINGTON WIZARDS,33,106,25,46,10,61,58,18,10,36,72,210,2019,0.413,29
Austin Rivers,SHOOTING GUARD,26,HOUSTON ROCKETS,71,221,25,49,15,76,109,29,13,32,135,408,2019,0.406,47
Austin Rivers,SHOOTING GUARD,26,HOUSTON ROCKETS,71,221,25,49,15,76,109,29,13,32,135,408,2019,0.392,47
Austin Rivers,SHOOTING GUARD,26,HOUSTON ROCKETS,71,221,25,49,15,76,109,29,13,32,135,408,2019,0.413,47
Devin Robinson,SMALL FORWARD,23,WASHINGTON WIZARDS,0,2,9,14,6,14,6,4,6,2,11,47,2019,0.594,7
Duncan Robinson,SMALL FORWARD,24,MIAMI HEAT,10,35,4,6,2,17,5,5,0,4,11,50,2019,0.391,15
Glenn Robinson III,SMALL FORWARD,25,DETROIT PISTONS,18,62,32,40,17,54,21,14,8,18,45,198,2019,0.42,47
Jerome Robinson,SHOOTING GUARD,21,LOS ANGELES CLIPPERS,18,57,6,9,3,38,19,11,3,13,46,112,2019,0.4,33
Mitchell Robinson,CENTER,20,NEW YORK KNICKS,0,0,81,135,177,246,37,52,161,35,217,485,2019,0.694,66
Rajon Rondo,POINT GUARD,32,LOS ANGELES LAKERS,51,142,23,36,34,209,367,57,7,127,100,424,2019,0.405,46
Derrick Rose,POINT GUARD,30,MINNESOTA TIMBERWOLVES,54,146,137,160,33,107,220,31,12,82,57,917,2019,0.482,51
Terrence Ross,SHOOTING GUARD,27,ORLANDO MAGIC,217,566,126,144,27,253,135,72,29,90,119,1223,2019,0.428,81
Terry Rozier,POINT GUARD,24,BOSTON CELTICS,119,337,73,93,32,275,231,68,21,68,101,708,2019,0.387,79
Ricky Rubio,POINT GUARD,28,UTAH JAZZ,79,254,195,228,33,210,416,91,10,180,180,864,2019,0.404,68
D'Angelo Russell,POINT GUARD,22,BROOKLYN NETS,234,635,160,205,53,262,563,100,20,253,141,1712,2019,0.434,81
Domantas Sabonis,CENTER,22,INDIANA PACERS,9,17,208,291,186,504,212,48,30,160,239,1043,2019,0.59,74
Brandon Sampson,SHOOTING GUARD,21,CHICAGO BULLS,11,29,4,6,3,13,10,8,3,12,19,71,2019,0.467,14
JaKarr Sampson,SMALL FORWARD,25,CHICAGO BULLS,5,14,17,21,5,27,4,4,3,4,8,80,2019,0.537,4
Dario Šarić,POWER FORWARD,24,PHILADELPHIA 76ERS,21,70,27,30,21,65,26,4,3,25,39,144,2019,0.437,13
Dario Šarić,POWER FORWARD,24,PHILADELPHIA 76ERS,21,70,27,30,21,65,26,4,3,25,39,144,2019,0.364,13
Dario Šarić,POWER FORWARD,24,PHILADELPHIA 76ERS,21,70,27,30,21,65,26,4,3,25,39,144,2019,0.454,13
Dario Šarić,POWER FORWARD,24,MINNESOTA TIMBERWOLVES,97,253,105,120,105,266,101,41,6,72,143,714,2019,0.437,68
Dario Šarić,POWER FORWARD,24,MINNESOTA TIMBERWOLVES,97,253,105,120,105,266,101,41,6,72,143,714,2019,0.364,68
Dario Šarić,POWER FORWARD,24,MINNESOTA TIMBERWOLVES,97,253,105,120,105,266,101,41,6,72,143,714,2019,0.454,68
Tomáš Satoranský,POINT GUARD,27,WASHINGTON WIZARDS,64,162,131,160,82,197,399,82,13,120,172,709,2019,0.485,80
Dennis Schröder,POINT GUARD,25,OKLAHOMA CITY THUNDER,124,364,186,227,38,246,323,65,12,172,189,1224,2019,0.414,79
Mike Scott,POWER FORWARD,30,LOS ANGELES CLIPPERS,52,133,12,18,24,150,44,17,8,27,88,248,2019,0.4,52
Mike Scott,POWER FORWARD,30,LOS ANGELES CLIPPERS,52,133,12,18,24,150,44,17,8,27,88,248,2019,0.4,52
Mike Scott,POWER FORWARD,30,LOS ANGELES CLIPPERS,52,133,12,18,24,150,44,17,8,27,88,248,2019,0.4,52
Mike Scott,POWER FORWARD,30,PHILADELPHIA 76ERS,49,119,10,15,19,83,22,9,5,17,68,211,2019,0.4,27
Mike Scott,POWER FORWARD,30,PHILADELPHIA 76ERS,49,119,10,15,19,83,22,9,5,17,68,211,2019,0.4,27
Mike Scott,POWER FORWARD,30,PHILADELPHIA 76ERS,49,119,10,15,19,83,22,9,5,17,68,211,2019,0.4,27
Thabo Sefolosha,SMALL FORWARD,34,UTAH JAZZ,34,78,14,22,8,115,27,43,5,25,41,190,2019,0.477,50
Wayne Selden,SHOOTING GUARD,24,MEMPHIS GRIZZLIES,20,63,22,29,16,28,36,10,6,23,48,172,2019,0.406,32
Wayne Selden,SHOOTING GUARD,24,MEMPHIS GRIZZLIES,20,63,22,29,16,28,36,10,6,23,48,172,2019,0.404,32
Wayne Selden,SHOOTING GUARD,24,MEMPHIS GRIZZLIES,20,63,22,29,16,28,36,10,6,23,48,172,2019,0.407,32
Wayne Selden,SHOOTING GUARD,24,CHICAGO BULLS,35,111,45,63,21,115,73,23,7,56,83,342,2019,0.406,43
Wayne Selden,SHOOTING GUARD,24,CHICAGO BULLS,35,111,45,63,21,115,73,23,7,56,83,342,2019,0.404,43
Wayne Selden,SHOOTING GUARD,24,CHICAGO BULLS,35,111,45,63,21,115,73,23,7,56,83,342,2019,0.407,43
Collin Sexton,POINT GUARD,20,CLEVELAND CAVALIERS,119,296,214,255,57,179,243,44,6,185,186,1371,2019,0.43,82
Landry Shamet,SHOOTING GUARD,21,PHILADELPHIA 76ERS,99,245,44,54,14,64,59,24,8,26,106,449,2019,0.431,54
Landry Shamet,SHOOTING GUARD,21,PHILADELPHIA 76ERS,99,245,44,54,14,64,59,24,8,26,106,449,2019,0.441,54
Landry Shamet,SHOOTING GUARD,21,PHILADELPHIA 76ERS,99,245,44,54,14,64,59,24,8,26,106,449,2019,0.414,54
Landry Shamet,SHOOTING GUARD,21,LOS ANGELES CLIPPERS,68,151,31,39,7,49,58,13,2,19,49,273,2019,0.431,25
Landry Shamet,SHOOTING GUARD,21,LOS ANGELES CLIPPERS,68,151,31,39,7,49,58,13,2,19,49,273,2019,0.441,25
Landry Shamet,SHOOTING GUARD,21,LOS ANGELES CLIPPERS,68,151,31,39,7,49,58,13,2,19,49,273,2019,0.414,25
Iman Shumpert,SHOOTING GUARD,28,SACRAMENTO KINGS,74,202,34,41,19,110,91,47,20,38,92,374,2019,0.374,42
Iman Shumpert,SHOOTING GUARD,28,SACRAMENTO KINGS,74,202,34,41,19,110,91,47,20,38,92,374,2019,0.382,42
Iman Shumpert,SHOOTING GUARD,28,SACRAMENTO KINGS,74,202,34,41,19,110,91,47,20,38,92,374,2019,0.347,42
Iman Shumpert,SHOOTING GUARD,28,HOUSTON ROCKETS,21,71,2,4,8,46,21,12,4,12,35,91,2019,0.374,20
Iman Shumpert,SHOOTING GUARD,28,HOUSTON ROCKETS,21,71,2,4,8,46,21,12,4,12,35,91,2019,0.382,20
Iman Shumpert,SHOOTING GUARD,28,HOUSTON ROCKETS,21,71,2,4,8,46,21,12,4,12,35,91,2019,0.347,20
Pascal Siakam,POWER FORWARD,24,TORONTO RAPTORS,79,214,237,302,124,425,248,73,52,154,241,1354,2019,0.549,80
Jordan Sibert,SHOOTING GUARD,26,ATLANTA HAWKS,1,1,0,0,0,0,0,0,0,0,0,3,2019,1.0,1
Ben Simmons,POINT GUARD,22,PHILADELPHIA 76ERS,0,6,257,428,172,525,610,112,61,274,209,1337,2019,0.563,79
Jonathon Simmons,SHOOTING GUARD,29,ORLANDO MAGIC,19,83,56,72,23,77,95,18,14,56,68,283,2019,0.38,41
Jonathon Simmons,SHOOTING GUARD,29,ORLANDO MAGIC,19,83,56,72,23,77,95,18,14,56,68,283,2019,0.364,41
Jonathon Simmons,SHOOTING GUARD,29,ORLANDO MAGIC,19,83,56,72,23,77,95,18,14,56,68,283,2019,0.453,41
Jonathon Simmons,SMALL FORWARD,29,PHILADELPHIA 76ERS,9,21,16,25,4,22,33,11,1,12,21,83,2019,0.38,15
Jonathon Simmons,SMALL FORWARD,29,PHILADELPHIA 76ERS,9,21,16,25,4,22,33,11,1,12,21,83,2019,0.364,15
Jonathon Simmons,SMALL FORWARD,29,PHILADELPHIA 76ERS,9,21,16,25,4,22,33,11,1,12,21,83,2019,0.453,15
Kobi Simmons,POINT GUARD,21,CLEVELAND CAVALIERS,0,0,0,0,0,0,0,0,0,0,0,0,2019,,1
Anfernee Simons,SHOOTING GUARD,19,PORTLAND TRAIL BLAZERS,10,29,9,16,3,10,13,1,0,11,9,75,2019,0.444,20
Marcus Smart,SHOOTING GUARD,24,BOSTON CELTICS,126,346,104,129,57,177,321,143,28,123,201,708,2019,0.422,80
Dennis Smith Jr.,POINT GUARD,21,DALLAS MAVERICKS,43,125,57,82,18,79,138,40,11,100,82,414,2019,0.428,32
Dennis Smith Jr.,POINT GUARD,21,DALLAS MAVERICKS,43,125,57,82,18,79,138,40,11,100,82,414,2019,0.44,32
Dennis Smith Jr.,POINT GUARD,21,DALLAS MAVERICKS,43,125,57,82,18,79,138,40,11,100,82,414,2019,0.413,32
Dennis Smith Jr.,POINT GUARD,21,NEW YORK KNICKS,24,83,42,74,14,44,114,27,9,54,47,308,2019,0.428,21
Dennis Smith Jr.,POINT GUARD,21,NEW YORK KNICKS,24,83,42,74,14,44,114,27,9,54,47,308,2019,0.44,21
Dennis Smith Jr.,POINT GUARD,21,NEW YORK KNICKS,24,83,42,74,14,44,114,27,9,54,47,308,2019,0.413,21
Ish Smith,POINT GUARD,30,DETROIT PISTONS,44,135,47,62,23,122,203,28,11,61,109,501,2019,0.419,56
J.R. Smith,SHOOTING GUARD,33,CLEVELAND CAVALIERS,12,39,8,10,0,18,21,11,3,11,19,74,2019,0.342,11
Jason Smith,CENTER,32,WASHINGTON WIZARDS,4,10,10,12,11,26,12,1,5,7,21,44,2019,0.356,12
Jason Smith,CENTER,32,WASHINGTON WIZARDS,4,10,10,12,11,26,12,1,5,7,21,44,2019,0.405,12
Jason Smith,CENTER,32,WASHINGTON WIZARDS,4,10,10,12,11,26,12,1,5,7,21,44,2019,0.308,12
Jason Smith,CENTER,32,WASHINGTON WIZARDS,4,10,10,12,11,26,12,1,5,7,21,44,2019,0.222,12
Jason Smith,POWER FORWARD,32,MILWAUKEE BUCKS,3,9,2,2,3,8,1,2,2,5,6,13,2019,0.356,6
Jason Smith,POWER FORWARD,32,MILWAUKEE BUCKS,3,9,2,2,3,8,1,2,2,5,6,13,2019,0.405,6
Jason Smith,POWER FORWARD,32,MILWAUKEE BUCKS,3,9,2,2,3,8,1,2,2,5,6,13,2019,0.308,6
Jason Smith,POWER FORWARD,32,MILWAUKEE BUCKS,3,9,2,2,3,8,1,2,2,5,6,13,2019,0.222,6
Jason Smith,CENTER,32,NEW ORLEANS PELICANS,2,7,2,2,2,2,1,0,0,1,3,8,2019,0.356,2
Jason Smith,CENTER,32,NEW ORLEANS PELICANS,2,7,2,2,2,2,1,0,0,1,3,8,2019,0.405,2
Jason Smith,CENTER,32,NEW ORLEANS PELICANS,2,7,2,2,2,2,1,0,0,1,3,8,2019,0.308,2
Jason Smith,CENTER,32,NEW ORLEANS PELICANS,2,7,2,2,2,2,1,0,0,1,3,8,2019,0.222,2
Zhaire Smith,SHOOTING GUARD,19,PHILADELPHIA 76ERS,6,16,6,8,3,10,10,2,2,6,8,40,2019,0.412,6
Tony Snell,SMALL FORWARD,27,MILWAUKEE BUCKS,81,204,37,42,29,128,68,26,18,23,90,444,2019,0.452,74
Ray Spalding,POWER FORWARD,21,DALLAS MAVERICKS,0,0,0,0,0,0,0,0,0,0,0,0,2019,0.532,1
Ray Spalding,POWER FORWARD,21,DALLAS MAVERICKS,0,0,0,0,0,0,0,0,0,0,0,0,2019,,1
Ray Spalding,POWER FORWARD,21,DALLAS MAVERICKS,0,0,0,0,0,0,0,0,0,0,0,0,2019,0.532,1
Ray Spalding,POWER FORWARD,21,PHOENIX SUNS,0,3,4,12,15,33,5,9,8,9,23,54,2019,0.532,13
