name,positions,age,team,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,Year,FG%,games_played
D.J. Augustin,POINT GUARD,31,ORLANDO MAGIC,131,311,181,209,41,162,426,52,4,128,115,948,2019,0.47,81
Deandre Ayton,CENTER,20,PHOENIX SUNS,0,4,141,189,223,506,125,61,67,126,209,1159,2019,0.585,71
Dwayne Bacon,SHOOTING GUARD,23,CHARLOTTE HORNETS,38,87,34,46,8,81,47,12,5,18,72,316,2019,0.475,43
Marvin Bagley III,POWER FORWARD,19,SACRAMENTO KINGS,30,96,181,262,162,309,62,33,59,98,120,923,2019,0.504,62
Ron Baker,SHOOTING GUARD,25,NEW YORK KNICKS,1,9,5,6,1,6,13,5,0,3,16,14,2019,0.2,11
Ron Baker,SHOOTING GUARD,25,NEW YORK KNICKS,1,9,5,6,1,6,13,5,0,3,16,14,2019,0.25,11
Ron Baker,SHOOTING GUARD,25,NEW YORK KNICKS,1,9,5,6,1,6,13,5,0,3,16,14,2019,0.0,11
Ron Baker,SHOOTING GUARD,25,WASHINGTON WIZARDS,0,4,0,0,0,4,2,1,1,2,2,0,2019,0.2,4
Ron Baker,SHOOTING GUARD,25,WASHINGTON WIZARDS,0,4,0,0,0,4,2,1,1,2,2,0,2019,0.25,4
Ron Baker,SHOOTING GUARD,25,WASHINGTON WIZARDS,0,4,0,0,0,4,2,1,1,2,2,0,2019,0.0,4
Wade Baldwin,POINT GUARD,22,PORTLAND TRAIL BLAZERS,2,9,8,11,2,13,12,1,2,14,11,30,2019,0.303,16
Lonzo Ball,POINT GUARD,21,LOS ANGELES LAKERS,75,228,20,48,54,197,255,69,19,103,114,465,2019,0.406,47
Mo Bamba,CENTER,20,ORLANDO MAGIC,21,70,37,63,64,169,39,13,64,43,102,292,2019,0.481,47
J.J. Barea,POINT GUARD,34,DALLAS MAVERICKS,38,128,55,78,13,82,211,22,1,72,50,415,2019,0.418,38
Harrison Barnes,POWER FORWARD,26,DALLAS MAVERICKS,121,311,165,198,36,171,62,33,11,68,79,866,2019,0.42,49
Harrison Barnes,POWER FORWARD,26,DALLAS MAVERICKS,121,311,165,198,36,171,62,33,11,68,79,866,2019,0.404,49
Harrison Barnes,POWER FORWARD,26,DALLAS MAVERICKS,121,311,165,198,36,171,62,33,11,68,79,866,2019,0.455,49
Harrison Barnes,SMALL FORWARD,26,SACRAMENTO KINGS,53,130,64,80,21,133,53,17,2,30,43,399,2019,0.42,28
Harrison Barnes,SMALL FORWARD,26,SACRAMENTO KINGS,53,130,64,80,21,133,53,17,2,30,43,399,2019,0.404,28
Harrison Barnes,SMALL FORWARD,26,SACRAMENTO KINGS,53,130,64,80,21,133,53,17,2,30,43,399,2019,0.455,28
Will Barton,SMALL FORWARD,28,DENVER NUGGETS,67,196,57,74,32,167,124,18,22,65,82,494,2019,0.402,43
Keita Bates-Diop,SMALL FORWARD,23,MINNESOTA TIMBERWOLVES,13,52,18,28,16,67,17,18,14,14,29,151,2019,0.423,30
Nicolas Batum,SMALL FORWARD,30,CHARLOTTE HORNETS,116,298,77,89,71,319,247,71,43,117,140,699,2019,0.45,75
Jerryd Bayless,POINT GUARD,30,MINNESOTA TIMBERWOLVES,29,98,16,28,11,51,119,18,2,32,56,209,2019,0.357,34
Aron Baynes,CENTER,32,BOSTON CELTICS,21,61,53,62,88,152,57,12,34,40,125,284,2019,0.471,51
Kent Bazemore,SHOOTING GUARD,29,ATLANTA HAWKS,96,300,127,175,37,224,152,89,42,121,170,779,2019,0.402,67
Bradley Beal,SHOOTING GUARD,25,WASHINGTON WIZARDS,209,596,362,448,89,322,448,121,58,224,226,2099,2019,0.475,82
Malik Beasley,SHOOTING GUARD,22,DENVER NUGGETS,163,405,56,66,35,165,97,55,10,55,116,917,2019,0.474,81
Michael Beasley,POWER FORWARD,30,LOS ANGELES LAKERS,3,17,28,39,13,47,25,9,10,27,42,181,2019,0.49,26
Marco Belinelli,SHOOTING GUARD,32,SAN ANTONIO SPURS,147,395,112,124,16,182,132,35,8,72,121,829,2019,0.413,79
Jordan Bell,CENTER,24,GOLDEN STATE WARRIORS,0,2,25,41,55,129,76,20,51,42,80,223,2019,0.516,68
DeAndre' Bembry,SHOOTING GUARD,24,ATLANTA HAWKS,50,173,87,136,54,304,202,105,41,142,190,687,2019,0.446,82
Dragan Bender,POWER FORWARD,21,PHOENIX SUNS,22,101,32,54,34,149,56,18,22,37,90,230,2019,0.447,46
Dairis Bertāns,SHOOTING GUARD,29,NEW ORLEANS PELICANS,10,34,0,0,2,7,10,1,0,2,7,34,2019,0.255,12
Dāvis Bertāns,POWER FORWARD,26,SAN ANTONIO SPURS,145,338,53,60,23,241,100,35,33,43,133,606,2019,0.45,76
Patrick Beverley,POINT GUARD,30,LOS ANGELES CLIPPERS,112,282,96,123,76,312,300,67,43,85,265,596,2019,0.407,78
Khem Birch,CENTER,26,ORLANDO MAGIC,0,1,58,83,79,111,38,18,29,20,72,240,2019,0.603,50
Bismack Biyombo,CENTER,26,CHARLOTTE HORNETS,0,0,58,91,81,166,33,11,41,34,103,236,2019,0.571,54
Nemanja Bjelica,POWER FORWARD,30,SACRAMENTO KINGS,103,257,70,92,125,319,147,54,56,82,197,741,2019,0.479,77
Antonio Blakeney,SHOOTING GUARD,22,CHICAGO BULLS,36,91,50,76,7,99,42,12,9,35,41,418,2019,0.419,57
Eric Bledsoe,POINT GUARD,29,MILWAUKEE BUCKS,124,377,177,236,82,280,430,116,29,165,156,1241,2019,0.484,78
Jaron Blossomgame,SMALL FORWARD,25,CLEVELAND CAVALIERS,10,39,10,13,26,72,13,7,8,11,20,114,2019,0.443,27
Bogdan Bogdanović,SHOOTING GUARD,26,SACRAMENTO KINGS,134,372,134,162,40,203,267,72,15,117,142,990,2019,0.418,70
Bojan Bogdanović,SMALL FORWARD,29,INDIANA PACERS,164,386,246,305,33,300,161,69,1,134,138,1454,2019,0.497,81
Andrew Bogut,CENTER,34,GOLDEN STATE WARRIORS,0,0,3,3,12,43,11,3,8,8,22,39,2019,0.5,11
Jonah Bolden,POWER FORWARD,23,PHILADELPHIA 76ERS,34,96,13,27,47,118,40,17,39,36,99,207,2019,0.494,44
Isaac Bonga,POINT GUARD,19,LOS ANGELES LAKERS,0,8,9,15,9,16,15,9,4,6,9,19,2019,0.152,22
Devin Booker,SHOOTING GUARD,22,PHOENIX SUNS,135,414,393,454,39,226,433,56,13,264,200,1700,2019,0.467,64
Chris Boucher,POWER FORWARD,26,TORONTO RAPTORS,12,37,13,15,16,40,2,6,24,7,31,93,2019,0.447,28
Avery Bradley,SHOOTING GUARD,28,LOS ANGELES CLIPPERS,58,172,20,25,35,96,96,27,16,61,133,400,2019,0.408,49
Avery Bradley,SHOOTING GUARD,28,LOS ANGELES CLIPPERS,58,172,20,25,35,96,96,27,16,61,133,400,2019,0.383,49
Avery Bradley,SHOOTING GUARD,28,LOS ANGELES CLIPPERS,58,172,20,25,35,96,96,27,16,61,133,400,2019,0.463,49
Avery Bradley,SHOOTING GUARD,28,MEMPHIS GRIZZLIES,28,73,23,25,8,36,56,14,0,28,34,225,2019,0.408,14
Avery Bradley,SHOOTING GUARD,28,MEMPHIS GRIZZLIES,28,73,23,25,8,36,56,14,0,28,34,225,2019,0.383,14
Avery Bradley,SHOOTING GUARD,28,MEMPHIS GRIZZLIES,28,73,23,25,8,36,56,14,0,28,34,225,2019,0.463,14
Tony Bradley,CENTER,21,UTAH JAZZ,0,0,1,2,9,6,1,2,2,3,6,17,2019,0.5,3
Corey Brewer,SMALL FORWARD,32,PHILADELPHIA 76ERS,4,14,9,13,4,13,10,12,2,8,16,53,2019,0.431,7
Corey Brewer,SMALL FORWARD,32,PHILADELPHIA 76ERS,4,14,9,13,4,13,10,12,2,8,16,53,2019,0.408,7
Corey Brewer,SMALL FORWARD,32,PHILADELPHIA 76ERS,4,14,9,13,4,13,10,12,2,8,16,53,2019,0.446,7
Corey Brewer,SMALL FORWARD,32,SACRAMENTO KINGS,10,30,22,30,22,37,29,20,5,11,47,98,2019,0.431,24
Corey Brewer,SMALL FORWARD,32,SACRAMENTO KINGS,10,30,22,30,22,37,29,20,5,11,47,98,2019,0.408,24
Corey Brewer,SMALL FORWARD,32,SACRAMENTO KINGS,10,30,22,30,22,37,29,20,5,11,47,98,2019,0.446,24
Mikal Bridges,SMALL FORWARD,22,PHOENIX SUNS,105,313,95,118,56,208,173,129,38,70,201,684,2019,0.43,82
Miles Bridges,SMALL FORWARD,20,CHARLOTTE HORNETS,65,200,58,77,67,256,95,55,49,50,111,597,2019,0.464,80
Isaiah Briscoe,POINT GUARD,22,ORLANDO MAGIC,11,34,15,26,5,69,87,11,2,31,66,136,2019,0.399,39
Ryan Broekhoff,SHOOTING GUARD,28,DALLAS MAVERICKS,38,93,15,19,8,55,22,6,4,16,35,167,2019,0.452,42
Malcolm Brogdon,SHOOTING GUARD,26,MILWAUKEE BUCKS,104,244,141,152,65,223,205,46,13,91,102,1001,2019,0.505,64
Dillon Brooks,SMALL FORWARD,23,MEMPHIS GRIZZLIES,15,40,22,30,9,22,16,10,4,19,50,135,2019,0.402,18
MarShon Brooks,SHOOTING GUARD,30,MEMPHIS GRIZZLIES,15,54,23,33,12,33,25,9,4,21,33,190,2019,0.45,29
Bruce Brown,SHOOTING GUARD,22,DETROIT PISTONS,24,93,45,60,48,137,91,40,36,46,178,319,2019,0.398,74
Jaylen Brown,SHOOTING GUARD,22,BOSTON CELTICS,95,276,133,202,65,248,100,69,32,99,186,964,2019,0.465,74
Lorenzo Brown,POINT GUARD,28,TORONTO RAPTORS,6,28,3,3,5,26,28,12,5,16,22,55,2019,0.324,26
Sterling Brown,SHOOTING GUARD,23,MILWAUKEE BUCKS,53,147,29,42,29,155,84,25,8,46,88,372,2019,0.465,58
Troy Brown Jr.,SMALL FORWARD,19,WASHINGTON WIZARDS,22,69,32,47,35,110,80,21,5,30,56,248,2019,0.415,52
Jalen Brunson,POINT GUARD,22,DALLAS MAVERICKS,63,181,87,120,25,144,230,37,4,88,127,678,2019,0.467,73
Thomas Bryant,CENTER,21,WASHINGTON WIZARDS,33,99,107,137,113,341,92,25,67,60,126,758,2019,0.616,72
Reggie Bullock,SHOOTING GUARD,27,DETROIT PISTONS,114,294,56,64,20,103,109,24,5,54,79,534,2019,0.412,44
Reggie Bullock,SHOOTING GUARD,27,DETROIT PISTONS,114,294,56,64,20,103,109,24,5,54,79,534,2019,0.413,44
Reggie Bullock,SHOOTING GUARD,27,DETROIT PISTONS,114,294,56,64,20,103,109,24,5,54,79,534,2019,0.412,44
Reggie Bullock,SHOOTING GUARD,27,LOS ANGELES LAKERS,34,99,17,21,2,48,20,16,7,11,30,177,2019,0.412,19
Reggie Bullock,SHOOTING GUARD,27,LOS ANGELES LAKERS,34,99,17,21,2,48,20,16,7,11,30,177,2019,0.413,19
Reggie Bullock,SHOOTING GUARD,27,LOS ANGELES LAKERS,34,99,17,21,2,48,20,16,7,11,30,177,2019,0.412,19
Trey Burke,POINT GUARD,26,NEW YORK KNICKS,30,86,62,75,15,47,94,21,5,29,33,388,2019,0.431,33
Trey Burke,POINT GUARD,26,NEW YORK KNICKS,30,86,62,75,15,47,94,21,5,29,33,388,2019,0.413,33
Trey Burke,POINT GUARD,26,NEW YORK KNICKS,30,86,62,75,15,47,94,21,5,29,33,388,2019,0.463,33
Trey Burke,POINT GUARD,26,DALLAS MAVERICKS,26,73,41,49,13,24,65,12,2,20,25,243,2019,0.431,25
Trey Burke,POINT GUARD,26,DALLAS MAVERICKS,26,73,41,49,13,24,65,12,2,20,25,243,2019,0.413,25
Trey Burke,POINT GUARD,26,DALLAS MAVERICKS,26,73,41,49,13,24,65,12,2,20,25,243,2019,0.463,25
Alec Burks,SHOOTING GUARD,27,UTAH JAZZ,16,43,33,38,2,25,20,6,4,15,22,143,2019,0.405,17
Alec Burks,SHOOTING GUARD,27,UTAH JAZZ,16,43,33,38,2,25,20,6,4,15,22,143,2019,0.412,17
Alec Burks,SHOOTING GUARD,27,UTAH JAZZ,16,43,33,38,2,25,20,6,4,15,22,143,2019,0.4,17
Alec Burks,SHOOTING GUARD,27,UTAH JAZZ,16,43,33,38,2,25,20,6,4,15,22,143,2019,0.45,17
Alec Burks,SHOOTING GUARD,27,CLEVELAND CAVALIERS,45,119,79,98,26,160,98,25,16,46,62,396,2019,0.405,34
Alec Burks,SHOOTING GUARD,27,CLEVELAND CAVALIERS,45,119,79,98,26,160,98,25,16,46,62,396,2019,0.412,34
