name,positions,age,team,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,Year,FG%,games_played,conferences,assists_per_game,assists_turnover_ratio
Dwyane Wade,SHOOTING GUARD,28,MIAMI HEAT,73,243,534,702,107,266,501,142,82,252,181,2045,2010,0.476,77,EC,6.5064935064935066,1.9880952380952381
Chris Paul,POINT GUARD,24,NEW ORLEANS HORNETS,52,127,161,190,20,171,480,96,8,112,118,841,2010,0.493,45,Unknown,10.666666666666666,4.285714285714286
Stephen Curry,POINT GUARD,21,GOLDEN STATE WARRIORS,166,380,177,200,48,308,472,152,19,243,252,1399,2010,0.462,80,WC,5.9,1.9423868312757202
Steve Nash,POINT GUARD,36,PHOENIX SUNS,81,205,227,249,40,220,855,48,4,265,87,1106,2011,,75,WC,11.4,3.2264150943396226
Chris Paul,POINT GUARD,25,NEW ORLEANS HORNETS,71,183,337,384,38,289,782,188,5,177,196,1268,2011,0.463,80,Unknown,9.775,4.418079096045198
Rajon Rondo,POINT GUARD,24,BOSTON CELTICS,10,43,75,132,87,210,760,153,11,234,120,721,2011,0.475,68,EC,11.176470588235293,3.247863247863248
Russell Westbrook,POINT GUARD,22,OKLAHOMA CITY THUNDER,34,103,531,631,121,258,670,155,30,316,207,1793,2011,0.442,82,WC,8.170731707317072,2.1202531645569622
Jason Kidd,POINT GUARD,37,DALLAS MAVERICKS,133,391,67,77,35,316,655,134,29,179,119,630,2011,,80,WC,8.1875,3.659217877094972
Derrick Rose,POINT GUARD,22,CHICAGO BULLS,128,385,476,555,81,249,623,85,51,278,136,2026,2011,0.445,81,EC,7.691358024691358,2.241007194244604
José Calderón,POINT GUARD,29,TORONTO RAPTORS,57,156,88,103,30,172,605,81,7,148,143,669,2011,0.44,68,EC,8.897058823529411,4.087837837837838
John Wall,POINT GUARD,20,WASHINGTON WIZARDS,34,115,301,393,35,282,574,121,35,261,175,1131,2011,0.409,69,EC,8.318840579710145,2.1992337164750957
Andre Miller,POINT GUARD,34,PORTLAND TRAIL BLAZERS,4,37,249,292,97,205,566,114,12,197,171,1029,2011,0.46,81,WC,6.987654320987654,2.8730964467005076
LeBron James,SMALL FORWARD,26,MIAMI HEAT,92,279,503,663,80,510,554,124,50,284,163,2111,2011,0.51,79,EC,7.012658227848101,1.9507042253521127
Steve Nash,POINT GUARD,37,PHOENIX SUNS,55,141,127,142,26,160,664,38,8,229,53,772,2012,,62,WC,10.709677419354838,2.8995633187772927
Rajon Rondo,POINT GUARD,25,BOSTON CELTICS,10,42,108,181,62,195,620,95,3,193,99,630,2012,0.448,53,EC,11.69811320754717,3.2124352331606216
Chris Paul,POINT GUARD,26,LOS ANGELES CLIPPERS,79,213,260,302,42,171,543,152,4,124,138,1189,2012,0.478,60,Unknown,9.05,4.379032258064516
John Wall,POINT GUARD,21,WASHINGTON WIZARDS,3,42,317,402,48,252,530,95,57,255,137,1076,2012,0.423,66,EC,8.030303030303031,2.0784313725490198
Deron Williams,POINT GUARD,27,NEW JERSEY NETS,115,342,257,305,23,160,481,67,20,219,121,1154,2012,0.407,55,Unknown,8.745454545454546,2.1963470319634704
José Calderón,POINT GUARD,30,TORONTO RAPTORS,59,159,60,68,19,141,468,47,3,104,94,555,2012,0.457,53,EC,8.830188679245284,4.5
Tony Parker,POINT GUARD,29,SAN ANTONIO SPURS,14,61,227,284,22,149,463,57,5,153,75,1095,2012,0.48,60,WC,7.716666666666667,3.026143790849673
Andre Miller,SHOOTING GUARD,35,DENVER NUGGETS,18,83,137,169,53,168,441,63,9,177,133,639,2012,0.438,66,WC,6.681818181818182,2.4915254237288136
Mike Conley,POINT GUARD,24,MEMPHIS GRIZZLIES,60,159,136,158,22,134,404,136,11,125,133,788,2012,0.433,62,WC,6.516129032258065,3.232
Ty Lawson,POINT GUARD,24,DENVER NUGGETS,73,200,178,216,54,173,401,82,6,149,94,999,2012,0.488,61,WC,6.573770491803279,2.6912751677852347
