team,conferences,made_three_point_field_goals
ORLANDO MAGIC,EC,18037
NEW YORK KNICKS,EC,18017
BOSTON CELTICS,EC,17251
TORONTO RAPTORS,EC,17198
CLEVELAND CAVALIERS,EC,17121
