name,positions,age,team,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,Year,FG%,games_played,conferences,assists_per_game,assists_turnover_ratio
Kedrick Brown,SMALL FORWARD,22,BOSTON CELTICS,12,32,8,13,18,50,25,17,2,12,38,110,2004,0.461,21,EC,1.1904761904761905,2.0833333333333335
Kedrick Brown,SMALL FORWARD,22,BOSTON CELTICS,12,32,8,13,18,50,25,17,2,12,38,110,2004,0.455,21,EC,1.1904761904761905,2.0833333333333335
Kedrick Brown,SMALL FORWARD,22,BOSTON CELTICS,12,32,8,13,18,50,25,17,2,12,38,110,2004,0.465,21,EC,1.1904761904761905,2.0833333333333335
Kedrick Brown,SMALL FORWARD,22,CLEVELAND CAVALIERS,26,67,9,14,23,55,39,13,5,17,42,179,2004,0.461,34,EC,1.1470588235294117,2.2941176470588234
Kedrick Brown,SMALL FORWARD,22,CLEVELAND CAVALIERS,26,67,9,14,23,55,39,13,5,17,42,179,2004,0.455,34,EC,1.1470588235294117,2.2941176470588234
Kedrick Brown,SMALL FORWARD,22,CLEVELAND CAVALIERS,26,67,9,14,23,55,39,13,5,17,42,179,2004,0.465,34,EC,1.1470588235294117,2.2941176470588234
Kwame Brown,POWER FORWARD,21,WASHINGTON WIZARDS,1,2,228,334,178,372,112,66,52,140,144,805,2004,0.489,74,EC,1.5135135135135136,0.8
P.J. Brown,POWER FORWARD,34,NEW ORLEANS HORNETS,0,1,158,185,237,453,155,78,73,101,203,836,2004,0.476,80,Unknown,1.9375,1.5346534653465347
Tierre Brown,POINT GUARD,24,NEW ORLEANS HORNETS,0,0,2,4,0,1,2,0,0,7,1,6,2004,0.5,3,Unknown,0.6666666666666666,0.2857142857142857
Rick Brunson,POINT GUARD,31,TORONTO RAPTORS,0,0,0,0,0,0,2,0,0,0,0,4,2004,0.381,3,EC,0.6666666666666666,inf
Rick Brunson,POINT GUARD,31,TORONTO RAPTORS,0,0,0,0,0,0,2,0,0,0,0,4,2004,0.5,3,EC,0.6666666666666666,inf
Rick Brunson,POINT GUARD,31,TORONTO RAPTORS,0,0,0,0,0,0,2,0,0,0,0,4,2004,0.376,3,EC,0.6666666666666666,inf
Rick Brunson,POINT GUARD,31,CHICAGO BULLS,11,23,27,31,9,28,80,25,3,33,44,114,2004,0.381,37,EC,2.1621621621621623,2.4242424242424243
Rick Brunson,POINT GUARD,31,CHICAGO BULLS,11,23,27,31,9,28,80,25,3,33,44,114,2004,0.5,37,EC,2.1621621621621623,2.4242424242424243
Rick Brunson,POINT GUARD,31,CHICAGO BULLS,11,23,27,31,9,28,80,25,3,33,44,114,2004,0.376,37,EC,2.1621621621621623,2.4242424242424243
Kobe Bryant,SHOOTING GUARD,25,LOS ANGELES LAKERS,71,217,454,533,103,256,330,112,28,171,176,1557,2004,,65,WC,5.076923076923077,1.9298245614035088
Greg Buckner,SHOOTING GUARD,27,PHILADELPHIA 76ERS,12,44,20,27,28,75,45,21,4,34,77,164,2004,0.377,53,EC,0.8490566037735849,1.3235294117647058
Rodney Buford,SMALL FORWARD,26,SACRAMENTO KINGS,0,2,3,6,6,9,7,6,1,4,9,41,2004,0.339,22,WC,0.3181818181818182,1.75
Caron Butler,SMALL FORWARD,23,MIAMI HEAT,10,42,133,176,92,234,126,75,13,91,162,623,2004,0.38,68,EC,1.8529411764705883,1.3846153846153846
Mitchell Butler,SHOOTING GUARD,33,WASHINGTON WIZARDS,11,30,15,24,24,47,32,22,4,24,54,134,2004,0.435,41,EC,0.7804878048780488,1.3333333333333333
Rasual Butler,SMALL FORWARD,24,MIAMI HEAT,50,108,16,21,4,57,23,10,13,28,72,304,2004,0.476,45,EC,0.5111111111111111,0.8214285714285714
Žarko Čabarkapa,POWER FORWARD,22,PHOENIX SUNS,6,32,35,53,26,73,40,10,13,54,75,203,2004,0.411,49,WC,0.8163265306122449,0.7407407407407407
Marcus Camby,CENTER,29,DENVER NUGGETS,0,2,98,136,211,516,132,86,187,98,239,622,2004,0.477,72,WC,1.8333333333333333,1.346938775510204
Elden Campbell,CENTER,35,DETROIT PISTONS,0,0,85,124,52,157,45,21,50,63,137,361,2004,0.439,65,EC,0.6923076923076923,0.7142857142857143
Brian Cardinal,POWER FORWARD,26,GOLDEN STATE WARRIORS,55,124,238,271,100,217,103,66,20,84,206,733,2004,0.472,76,WC,1.355263157894737,1.2261904761904763
Matt Carroll,SHOOTING GUARD,23,PORTLAND TRAIL BLAZERS,1,3,2,2,0,3,1,0,0,2,3,13,2004,0.438,13,WC,0.07692307692307693,0.5
Matt Carroll,SHOOTING GUARD,23,PORTLAND TRAIL BLAZERS,1,3,2,2,0,3,1,0,0,2,3,13,2004,0.455,13,WC,0.07692307692307693,0.5
Matt Carroll,SHOOTING GUARD,23,PORTLAND TRAIL BLAZERS,1,3,2,2,0,3,1,0,0,2,3,13,2004,0.4,13,WC,0.07692307692307693,0.5
Matt Carroll,SHOOTING GUARD,23,SAN ANTONIO SPURS,0,0,2,4,1,2,1,1,0,4,5,6,2004,0.438,3,WC,0.3333333333333333,0.25
Matt Carroll,SHOOTING GUARD,23,SAN ANTONIO SPURS,0,0,2,4,1,2,1,1,0,4,5,6,2004,0.455,3,WC,0.3333333333333333,0.25
Matt Carroll,SHOOTING GUARD,23,SAN ANTONIO SPURS,0,0,2,4,1,2,1,1,0,4,5,6,2004,0.4,3,WC,0.3333333333333333,0.25
Anthony Carter,POINT GUARD,28,SAN ANTONIO SPURS,0,3,0,0,2,9,12,4,0,12,9,22,2004,0.297,5,WC,2.4,1.0
Maurice Carter,SHOOTING GUARD,27,LOS ANGELES LAKERS,1,3,11,12,0,3,2,0,0,6,5,22,2004,0.314,4,WC,0.5,0.3333333333333333
Maurice Carter,SHOOTING GUARD,27,LOS ANGELES LAKERS,1,3,11,12,0,3,2,0,0,6,5,22,2004,0.357,4,WC,0.5,0.3333333333333333
Maurice Carter,SHOOTING GUARD,27,LOS ANGELES LAKERS,1,3,11,12,0,3,2,0,0,6,5,22,2004,0.286,4,WC,0.5,0.3333333333333333
Maurice Carter,SHOOTING GUARD,27,NEW ORLEANS HORNETS,3,8,5,8,2,6,2,0,0,3,5,20,2004,0.314,6,Unknown,0.3333333333333333,0.6666666666666666
Maurice Carter,SHOOTING GUARD,27,NEW ORLEANS HORNETS,3,8,5,8,2,6,2,0,0,3,5,20,2004,0.357,6,Unknown,0.3333333333333333,0.6666666666666666
Maurice Carter,SHOOTING GUARD,27,NEW ORLEANS HORNETS,3,8,5,8,2,6,2,0,0,3,5,20,2004,0.286,6,Unknown,0.3333333333333333,0.6666666666666666
Vince Carter,SHOOTING GUARD,27,TORONTO RAPTORS,93,243,336,417,95,254,348,88,65,223,212,1645,2004,0.417,73,EC,4.767123287671233,1.5605381165919283
Sam Cassell,POINT GUARD,34,MINNESOTA TIMBERWOLVES,74,186,289,331,44,227,592,102,18,220,247,1603,2004,0.488,81,WC,7.308641975308642,2.690909090909091
Kelvin Cato,POWER FORWARD,29,HOUSTON ROCKETS,0,0,96,142,153,319,72,52,96,84,203,418,2004,0.447,69,WC,1.0434782608695652,0.8571428571428571
Tyson Chandler,POWER FORWARD,21,CHICAGO BULLS,0,1,79,118,82,188,23,17,43,38,87,213,2004,0.424,35,EC,0.6571428571428571,0.6052631578947368
Calbert Cheaney,SMALL FORWARD,32,GOLDEN STATE WARRIORS,0,10,47,77,77,183,136,60,12,85,184,603,2004,0.481,79,WC,1.7215189873417722,1.6
Doug Christie,SHOOTING GUARD,33,SACRAMENTO KINGS,49,142,148,172,69,260,347,151,41,155,186,831,2004,0.461,82,WC,4.2317073170731705,2.238709677419355
Keon Clark,POWER FORWARD,28,UTAH JAZZ,0,0,0,0,1,6,1,1,0,0,1,4,2004,0.333,2,WC,0.5,inf
Speedy Claxton,POINT GUARD,25,GOLDEN STATE WARRIORS,4,22,182,224,38,118,267,97,9,102,146,634,2004,0.427,60,WC,4.45,2.6176470588235294
Mateen Cleaves,POINT GUARD,26,CLEVELAND CAVALIERS,0,1,1,2,1,6,19,4,2,5,13,15,2004,0.304,4,EC,4.75,3.8
Derrick Coleman,CENTER,36,PHILADELPHIA 76ERS,8,36,49,65,45,147,46,23,26,57,79,271,2004,0.413,34,EC,1.3529411764705883,0.8070175438596491
Bimbo Coles,POINT GUARD,35,MIAMI HEAT,0,0,4,6,2,8,15,3,0,9,27,28,2004,0.353,22,EC,0.6818181818181818,1.6666666666666667
Jason Collier,CENTER,26,ATLANTA HAWKS,1,4,67,85,36,75,17,11,11,31,71,226,2004,0.479,20,EC,0.85,0.5483870967741935
Jarron Collins,CENTER,25,UTAH JAZZ,0,1,188,262,117,199,77,26,18,79,255,482,2004,0.498,81,WC,0.9506172839506173,0.9746835443037974
Jason Collins,CENTER,25,NEW JERSEY NETS,0,2,136,184,143,257,153,67,56,97,251,462,2004,0.424,78,Unknown,1.9615384615384615,1.577319587628866
Brian Cook,CENTER,23,LOS ANGELES LAKERS,0,5,21,28,31,70,20,16,16,17,64,155,2004,0.475,35,WC,0.5714285714285714,1.1764705882352942
Omar Cook,POINT GUARD,22,PORTLAND TRAIL BLAZERS,0,1,0,0,3,3,24,10,0,10,14,14,2004,0.259,17,WC,1.411764705882353,2.4
Chris Crawford,POWER FORWARD,28,ATLANTA HAWKS,44,113,103,119,58,117,45,37,20,55,131,569,2004,0.448,56,EC,0.8035714285714286,0.8181818181818182
Jamal Crawford,SHOOTING GUARD,23,CHICAGO BULLS,165,521,200,240,46,237,405,111,29,193,161,1383,2004,0.386,80,EC,5.0625,2.098445595854922
Austin Croshere,POWER FORWARD,28,INDIANA PACERS,56,144,93,104,60,183,52,24,14,55,101,387,2004,0.388,77,EC,0.6753246753246753,0.9454545454545454
Eddy Curry,POWER FORWARD,21,CHICAGO BULLS,1,1,235,350,143,308,68,24,83,177,258,1070,2004,0.496,73,EC,0.9315068493150684,0.384180790960452
Michael Curry,SMALL FORWARD,35,TORONTO RAPTORS,3,15,49,58,22,65,53,23,5,48,153,204,2004,0.388,70,EC,0.7571428571428571,1.1041666666666667
Samuel Dalembert,CENTER,22,PHILADELPHIA 76ERS,0,1,112,174,194,432,21,44,189,86,273,652,2004,0.541,82,EC,0.25609756097560976,0.2441860465116279
Erick Dampier,CENTER,28,GOLDEN STATE WARRIORS,0,2,217,332,344,543,60,33,137,131,227,913,2004,0.535,74,WC,0.8108108108108109,0.4580152671755725
Antonio Daniels,POINT GUARD,28,SEATTLE SUPERSONICS,42,116,155,184,23,119,298,45,6,61,64,571,2004,0.47,71,Unknown,4.197183098591549,4.885245901639344
Marquis Daniels,SHOOTING GUARD,23,DALLAS MAVERICKS,11,36,60,78,66,80,116,53,12,44,51,477,2004,0.494,56,WC,2.0714285714285716,2.6363636363636362
Antonio Davis,CENTER,35,TORONTO RAPTORS,0,0,37,49,49,94,14,8,8,21,45,129,2004,0.403,15,EC,0.9333333333333333,0.6666666666666666
Antonio Davis,CENTER,35,TORONTO RAPTORS,0,0,37,49,49,94,14,8,8,21,45,129,2004,0.383,15,EC,0.9333333333333333,0.6666666666666666
Antonio Davis,CENTER,35,TORONTO RAPTORS,0,0,37,49,49,94,14,8,8,21,45,129,2004,0.407,15,EC,0.9333333333333333,0.6666666666666666
Antonio Davis,CENTER,35,CHICAGO BULLS,0,0,139,181,158,370,123,29,57,93,161,579,2004,0.403,65,EC,1.8923076923076922,1.3225806451612903
Antonio Davis,CENTER,35,CHICAGO BULLS,0,0,139,181,158,370,123,29,57,93,161,579,2004,0.383,65,EC,1.8923076923076922,1.3225806451612903
Antonio Davis,CENTER,35,CHICAGO BULLS,0,0,139,181,158,370,123,29,57,93,161,579,2004,0.407,65,EC,1.8923076923076922,1.3225806451612903
Baron Davis,POINT GUARD,24,NEW ORLEANS HORNETS,187,582,237,352,66,221,501,158,27,215,178,1532,2004,0.395,67,Unknown,7.477611940298507,2.3302325581395347
Dale Davis,CENTER,34,PORTLAND TRAIL BLAZERS,0,0,65,106,158,240,72,43,62,40,154,331,2004,0.473,76,WC,0.9473684210526315,1.8
Hubert Davis,SHOOTING GUARD,33,DETROIT PISTONS,0,1,0,0,0,0,1,0,0,1,4,0,2004,0.091,3,EC,0.3333333333333333,1.0
Hubert Davis,SHOOTING GUARD,33,DETROIT PISTONS,0,1,0,0,0,0,1,0,0,1,4,0,2004,0.0,3,EC,0.3333333333333333,1.0
Hubert Davis,SHOOTING GUARD,33,DETROIT PISTONS,0,1,0,0,0,0,1,0,0,1,4,0,2004,0.111,3,EC,0.3333333333333333,1.0
Hubert Davis,SHOOTING GUARD,33,NEW JERSEY NETS,0,0,2,2,2,6,3,2,0,2,8,4,2004,0.091,14,Unknown,0.21428571428571427,1.5
Hubert Davis,SHOOTING GUARD,33,NEW JERSEY NETS,0,0,2,2,2,6,3,2,0,2,8,4,2004,0.0,14,Unknown,0.21428571428571427,1.5
Hubert Davis,SHOOTING GUARD,33,NEW JERSEY NETS,0,0,2,2,2,6,3,2,0,2,8,4,2004,0.111,14,Unknown,0.21428571428571427,1.5
Josh Davis,POWER FORWARD,23,ATLANTA HAWKS,0,2,1,1,1,4,0,0,0,2,3,5,2004,0.4,4,EC,0.0,0.0
Ricky Davis,SHOOTING GUARD,24,CLEVELAND CAVALIERS,17,48,51,75,18,103,111,25,8,68,51,336,2004,0.469,22,EC,5.045454545454546,1.6323529411764706
Ricky Davis,SHOOTING GUARD,24,CLEVELAND CAVALIERS,17,48,51,75,18,103,111,25,8,68,51,336,2004,0.431,22,EC,5.045454545454546,1.6323529411764706
Ricky Davis,SHOOTING GUARD,24,CLEVELAND CAVALIERS,17,48,51,75,18,103,111,25,8,68,51,336,2004,0.488,22,EC,5.045454545454546,1.6323529411764706
Ricky Davis,SMALL FORWARD,24,BOSTON CELTICS,35,92,145,198,59,178,148,71,14,121,120,804,2004,0.469,57,EC,2.5964912280701755,1.2231404958677685
Ricky Davis,SMALL FORWARD,24,BOSTON CELTICS,35,92,145,198,59,178,148,71,14,121,120,804,2004,0.431,57,EC,2.5964912280701755,1.2231404958677685
Ricky Davis,SMALL FORWARD,24,BOSTON CELTICS,35,92,145,198,59,178,148,71,14,121,120,804,2004,0.488,57,EC,2.5964912280701755,1.2231404958677685
Andrew DeClercq,CENTER,30,ORLANDO MAGIC,0,0,44,54,131,186,44,47,32,54,217,230,2004,0.477,71,EC,0.6197183098591549,0.8148148148148148
Tony Delk,SHOOTING GUARD,30,DALLAS MAVERICKS,20,66,37,44,16,43,28,27,7,17,46,197,2004,0.38,33,WC,0.8484848484848485,1.6470588235294117
Derrick Dial,SHOOTING GUARD,28,ORLANDO MAGIC,2,9,6,8,5,8,2,6,0,1,6,26,2004,0.321,9,EC,0.2222222222222222,2.0
Boris Diaw,SHOOTING GUARD,21,ATLANTA HAWKS,6,26,56,93,111,231,182,59,37,126,191,342,2004,0.447,76,EC,2.3947368421052633,1.4444444444444444
Dan Dickau,POINT GUARD,25,ATLANTA HAWKS,3,10,4,6,4,12,18,9,0,13,22,49,2004,0.378,23,EC,0.782608695652174,1.3846153846153846
Dan Dickau,POINT GUARD,25,ATLANTA HAWKS,3,10,4,6,4,12,18,9,0,13,22,49,2004,0.429,23,EC,0.782608695652174,1.3846153846153846
Dan Dickau,POINT GUARD,25,ATLANTA HAWKS,3,10,4,6,4,12,18,9,0,13,22,49,2004,0.327,23,EC,0.782608695652174,1.3846153846153846
Dan Dickau,POINT GUARD,25,PORTLAND TRAIL BLAZERS,7,20,7,8,3,7,20,8,0,13,22,46,2004,0.378,20,WC,1.0,1.5384615384615385
Dan Dickau,POINT GUARD,25,PORTLAND TRAIL BLAZERS,7,20,7,8,3,7,20,8,0,13,22,46,2004,0.429,20,WC,1.0,1.5384615384615385
Dan Dickau,POINT GUARD,25,PORTLAND TRAIL BLAZERS,7,20,7,8,3,7,20,8,0,13,22,46,2004,0.327,20,WC,1.0,1.5384615384615385
Kaniel Dickens,POWER FORWARD,25,PORTLAND TRAIL BLAZERS,0,0,1,2,2,0,0,0,0,1,3,7,2004,1.0,3,WC,0.0,0.0
DeSagana Diop,CENTER,22,CLEVELAND CAVALIERS,0,0,12,20,72,127,34,26,51,29,116,126,2004,0.388,56,EC,0.6071428571428571,1.1724137931034482
Vlade Divac,CENTER,35,SACRAMENTO KINGS,2,13,170,260,136,327,432,57,77,173,222,800,2004,,81,WC,5.333333333333333,2.4971098265895955
Juan Dixon,SHOOTING GUARD,25,WASHINGTON WIZARDS,59,198,111,139,30,118,137,82,4,104,111,664,2004,0.388,71,EC,1.9295774647887325,1.3173076923076923
Michael Doleac,CENTER,26,NEW YORK KNICKS,0,0,31,36,60,129,30,17,30,37,84,231,2004,0.435,46,EC,0.6521739130434783,0.8108108108108109
Michael Doleac,CENTER,26,NEW YORK KNICKS,0,0,31,36,60,129,30,17,30,37,84,231,2004,0.444,46,EC,0.6521739130434783,0.8108108108108109
Michael Doleac,CENTER,26,NEW YORK KNICKS,0,0,31,36,60,129,30,17,30,37,84,231,2004,0.412,46,EC,0.6521739130434783,0.8108108108108109
Michael Doleac,CENTER,26,DENVER NUGGETS,0,0,14,16,28,48,14,6,6,11,58,94,2004,0.435,26,WC,0.5384615384615384,1.2727272727272727
Michael Doleac,CENTER,26,DENVER NUGGETS,0,0,14,16,28,48,14,6,6,11,58,94,2004,0.444,26,WC,0.5384615384615384,1.2727272727272727
Michael Doleac,CENTER,26,DENVER NUGGETS,0,0,14,16,28,48,14,6,6,11,58,94,2004,0.412,26,WC,0.5384615384615384,1.2727272727272727
Keyon Dooling,POINT GUARD,23,LOS ANGELES CLIPPERS,8,46,78,94,17,62,130,45,6,65,108,360,2004,0.389,58,Unknown,2.2413793103448274,2.0
Bryce Drew,POINT GUARD,29,NEW ORLEANS HORNETS,1,7,3,3,0,6,13,4,0,8,1,12,2004,0.222,15,Unknown,0.8666666666666667,1.625
Predrag Drobnjak,CENTER,28,LOS ANGELES CLIPPERS,11,36,73,86,54,142,39,22,24,48,85,382,2004,0.393,61,Unknown,0.639344262295082,0.8125
Tim Duncan,POWER FORWARD,27,SAN ANTONIO SPURS,2,12,352,588,227,632,213,62,185,183,164,1538,2004,,69,WC,3.0869565217391304,1.1639344262295082
Mike Dunleavy,SMALL FORWARD,23,GOLDEN STATE WARRIORS,94,254,137,185,87,355,220,68,13,143,169,877,2004,0.449,75,WC,2.933333333333333,1.5384615384615385
Ronald Dupree,SMALL FORWARD,23,CHICAGO BULLS,4,9,66,105,55,112,55,32,18,51,134,292,2004,0.394,47,EC,1.1702127659574468,1.0784313725490196
Ndudi Ebi,SMALL FORWARD,19,MINNESOTA TIMBERWOLVES,0,0,1,4,2,1,3,0,4,3,6,13,2004,0.429,17,WC,0.17647058823529413,1.0
Howard Eisley,POINT GUARD,31,NEW YORK KNICKS,28,85,32,36,7,59,156,30,3,50,85,220,2004,0.368,33,EC,4.7272727272727275,3.12
Howard Eisley,POINT GUARD,31,NEW YORK KNICKS,28,85,32,36,7,59,156,30,3,50,85,220,2004,0.396,33,EC,4.7272727272727275,3.12
Howard Eisley,POINT GUARD,31,NEW YORK KNICKS,28,85,32,36,7,59,156,30,3,50,85,220,2004,0.345,33,EC,4.7272727272727275,3.12
Howard Eisley,POINT GUARD,31,PHOENIX SUNS,24,78,44,53,13,50,117,26,2,48,52,240,2004,0.368,34,WC,3.4411764705882355,2.4375
Howard Eisley,POINT GUARD,31,PHOENIX SUNS,24,78,44,53,13,50,117,26,2,48,52,240,2004,0.396,34,WC,3.4411764705882355,2.4375
Howard Eisley,POINT GUARD,31,PHOENIX SUNS,24,78,44,53,13,50,117,26,2,48,52,240,2004,0.345,34,WC,3.4411764705882355,2.4375
Francisco Elson,CENTER,27,DENVER NUGGETS,0,1,30,45,65,138,32,35,39,35,145,218,2004,0.472,62,WC,0.5161290322580645,0.9142857142857143
Melvin Ely,POWER FORWARD,25,LOS ANGELES CLIPPERS,0,1,25,42,48,53,22,9,17,20,68,157,2004,0.431,42,Unknown,0.5238095238095238,1.1
Reggie Evans,POWER FORWARD,23,SEATTLE SUPERSONICS,0,3,83,148,156,252,33,54,10,65,176,217,2004,0.406,75,Unknown,0.44,0.5076923076923077
Desmond Ferguson,SMALL FORWARD,26,PORTLAND TRAIL BLAZERS,3,8,0,2,0,4,1,0,0,1,0,13,2004,0.417,7,WC,0.14285714285714285,1.0
Michael Finley,SHOOTING GUARD,30,DALLAS MAVERICKS,150,370,164,193,78,247,212,84,39,83,118,1342,2004,0.443,72,WC,2.9444444444444446,2.5542168674698793
Derek Fisher,SHOOTING GUARD,29,LOS ANGELES LAKERS,52,179,122,153,30,122,187,103,4,79,115,580,2004,0.352,82,WC,2.2804878048780486,2.367088607594937
Marcus Fizer,SMALL FORWARD,25,CHICAGO BULLS,2,17,90,120,61,141,43,16,8,51,97,360,2004,0.383,46,EC,0.9347826086956522,0.8431372549019608
Alton Ford,POWER FORWARD,22,HOUSTON ROCKETS,0,0,3,6,3,8,3,0,1,3,9,15,2004,0.545,9,WC,0.3333333333333333,1.0
T.J. Ford,POINT GUARD,20,MILWAUKEE BUCKS,5,21,80,98,37,140,356,60,3,139,123,391,2004,0.384,55,EC,6.472727272727273,2.5611510791366907
Danny Fortson,CENTER,27,DALLAS MAVERICKS,0,0,75,92,114,136,9,12,11,37,148,217,2004,0.511,56,WC,0.16071428571428573,0.24324324324324326
Jeff Foster,CENTER,27,INDIANA PACERS,0,4,103,154,248,362,64,71,27,60,189,497,2004,0.544,82,EC,0.7804878048780488,1.0666666666666667
Tremaine Fowlkes,SMALL FORWARD,27,DETROIT PISTONS,1,8,13,18,18,35,14,9,3,12,37,44,2004,0.313,36,EC,0.3888888888888889,1.1666666666666667
Rick Fox,SMALL FORWARD,34,LOS ANGELES LAKERS,15,61,22,30,29,73,98,29,4,48,99,183,2004,0.392,38,WC,2.5789473684210527,2.0416666666666665
Adonal Foyle,CENTER,28,GOLDEN STATE WARRIORS,0,0,19,35,54,113,17,6,46,21,68,137,2004,0.454,44,WC,0.38636363636363635,0.8095238095238095
Richie Frahm,SMALL FORWARD,26,SEATTLE SUPERSONICS,34,92,23,26,12,44,24,16,4,7,50,183,2004,0.453,54,Unknown,0.4444444444444444,3.4285714285714284
Steve Francis,POINT GUARD,26,HOUSTON ROCKETS,73,250,337,435,116,317,493,139,35,294,257,1310,2004,0.403,79,WC,6.2405063291139244,1.6768707482993197
Hiram Fuller,POWER FORWARD,22,ATLANTA HAWKS,0,0,2,6,4,7,2,0,1,4,5,8,2004,0.375,4,EC,0.5,0.5
Dan Gadzuric,CENTER,25,MILWAUKEE BUCKS,0,1,58,118,126,220,28,51,105,45,186,424,2004,0.524,75,EC,0.37333333333333335,0.6222222222222222
Reece Gaines,POINT GUARD,23,ORLANDO MAGIC,3,10,16,25,8,31,40,11,2,18,22,69,2004,0.291,38,EC,1.0526315789473684,2.2222222222222223
Alex Garcia,SHOOTING GUARD,23,SAN ANTONIO SPURS,0,0,1,2,0,0,0,2,0,1,0,3,2004,0.143,2,WC,0.0,0.0
Kevin Garnett,POWER FORWARD,27,MINNESOTA TIMBERWOLVES,11,43,368,465,245,894,409,120,178,212,202,1987,2004,,82,WC,4.987804878048781,1.929245283018868
Pat Garrity,POWER FORWARD,27,ORLANDO MAGIC,0,0,0,0,0,0,1,0,0,0,2,2,2004,0.333,2,EC,0.5,inf
Pau Gasol,POWER FORWARD,23,MEMPHIS GRIZZLIES,4,15,365,511,206,394,198,44,132,187,185,1381,2004,0.482,78,WC,2.5384615384615383,1.0588235294117647
Devean George,SMALL FORWARD,26,LOS ANGELES LAKERS,65,186,73,96,87,245,112,81,38,88,189,604,2004,0.408,82,WC,1.3658536585365855,1.2727272727272727
Eddie Gill,POINT GUARD,25,PORTLAND TRAIL BLAZERS,3,8,17,20,4,13,16,9,1,12,16,50,2004,0.417,22,WC,0.7272727272727273,1.3333333333333333
Kendall Gill,SHOOTING GUARD,35,CHICAGO BULLS,9,38,100,136,61,129,89,65,16,83,107,539,2004,0.392,56,EC,1.5892857142857142,1.072289156626506
Manu Ginóbili,SHOOTING GUARD,26,SAN ANTONIO SPURS,88,245,239,298,86,258,291,136,16,161,181,987,2004,,77,WC,3.779220779220779,1.8074534161490683
Gordan Giriček,SMALL FORWARD,26,ORLANDO MAGIC,46,113,67,81,37,127,80,41,10,63,98,489,2004,0.436,48,EC,1.6666666666666667,1.2698412698412698
Gordan Giriček,SMALL FORWARD,26,ORLANDO MAGIC,46,113,67,81,37,127,80,41,10,63,98,489,2004,0.44,48,EC,1.6666666666666667,1.2698412698412698
Gordan Giriček,SMALL FORWARD,26,ORLANDO MAGIC,46,113,67,81,37,127,80,41,10,63,98,489,2004,0.431,48,EC,1.6666666666666667,1.2698412698412698
Gordan Giriček,SHOOTING GUARD,26,UTAH JAZZ,14,39,68,77,14,48,42,15,5,40,46,338,2004,0.436,25,WC,1.68,1.05
Gordan Giriček,SHOOTING GUARD,26,UTAH JAZZ,14,39,68,77,14,48,42,15,5,40,46,338,2004,0.44,25,WC,1.68,1.05
Gordan Giriček,SHOOTING GUARD,26,UTAH JAZZ,14,39,68,77,14,48,42,15,5,40,46,338,2004,0.431,25,WC,1.68,1.05
Dion Glover,SHOOTING GUARD,25,ATLANTA HAWKS,36,105,110,142,54,183,115,40,17,83,106,556,2004,0.39,55,EC,2.090909090909091,1.3855421686746987
Dion Glover,SHOOTING GUARD,25,ATLANTA HAWKS,36,105,110,142,54,183,115,40,17,83,106,556,2004,0.391,55,EC,2.090909090909091,1.3855421686746987
Dion Glover,SHOOTING GUARD,25,ATLANTA HAWKS,36,105,110,142,54,183,115,40,17,83,106,556,2004,0.385,55,EC,2.090909090909091,1.3855421686746987
Dion Glover,SHOOTING GUARD,25,TORONTO RAPTORS,4,14,10,14,4,25,15,10,2,19,17,64,2004,0.39,14,EC,1.0714285714285714,0.7894736842105263
Dion Glover,SHOOTING GUARD,25,TORONTO RAPTORS,4,14,10,14,4,25,15,10,2,19,17,64,2004,0.391,14,EC,1.0714285714285714,0.7894736842105263
Dion Glover,SHOOTING GUARD,25,TORONTO RAPTORS,4,14,10,14,4,25,15,10,2,19,17,64,2004,0.385,14,EC,1.0714285714285714,0.7894736842105263
Anthony Goldwire,POINT GUARD,32,MINNESOTA TIMBERWOLVES,2,6,1,1,1,5,10,3,0,2,5,13,2004,0.318,5,WC,2.0,5.0
Anthony Goldwire,POINT GUARD,32,MINNESOTA TIMBERWOLVES,2,6,1,1,1,5,10,3,0,2,5,13,2004,0.357,5,WC,2.0,5.0
Anthony Goldwire,POINT GUARD,32,MINNESOTA TIMBERWOLVES,2,6,1,1,1,5,10,3,0,2,5,13,2004,0.25,5,WC,2.0,5.0
Anthony Goldwire,POINT GUARD,32,NEW JERSEY NETS,0,2,0,0,0,1,1,2,0,1,0,4,2004,0.318,6,Unknown,0.16666666666666666,1.0
Anthony Goldwire,POINT GUARD,32,NEW JERSEY NETS,0,2,0,0,0,1,1,2,0,1,0,4,2004,0.357,6,Unknown,0.16666666666666666,1.0
Anthony Goldwire,POINT GUARD,32,NEW JERSEY NETS,0,2,0,0,0,1,1,2,0,1,0,4,2004,0.25,6,Unknown,0.16666666666666666,1.0
Drew Gooden,POWER FORWARD,22,ORLANDO MAGIC,9,42,167,262,160,356,89,62,72,126,196,914,2004,0.445,79,EC,1.1265822784810127,0.7063492063492064
Brian Grant,CENTER,31,MIAMI HEAT,0,1,86,110,174,350,69,51,35,82,254,664,2004,0.471,76,EC,0.9078947368421053,0.8414634146341463
Horace Grant,POWER FORWARD,38,LOS ANGELES LAKERS,0,1,39,54,79,154,71,24,21,29,70,223,2004,0.411,55,WC,1.290909090909091,2.4482758620689653
