name,positions,age,team,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,Year,FG%,games_played,conferences,assists_per_game,assists_turnover_ratio
Deyonta Davis,CENTER,22,ATLANTA HAWKS,0,1,6,10,10,26,5,3,5,3,12,36,2019,0.682,9,EC,0.5555555555555556,1.6666666666666667
Ed Davis,CENTER,29,BROOKLYN NETS,0,2,100,162,216,478,61,35,33,64,226,472,2019,0.616,81,EC,0.7530864197530864,0.953125
Tyler Davis,CENTER,21,OKLAHOMA CITY THUNDER,0,0,0,0,1,0,0,0,0,0,0,0,2019,0.0,1,WC,0.0,
Dewayne Dedmon,CENTER,29,ATLANTA HAWKS,83,217,92,113,105,375,90,69,71,84,214,693,2019,0.492,64,EC,1.40625,1.0714285714285714
Sam Dekker,POWER FORWARD,24,CLEVELAND CAVALIERS,5,13,8,10,9,24,9,11,0,5,13,57,2019,0.469,9,EC,1.0,1.8
Sam Dekker,POWER FORWARD,24,CLEVELAND CAVALIERS,5,13,8,10,9,24,9,11,0,5,13,57,2019,0.458,9,EC,1.0,1.8
Sam Dekker,POWER FORWARD,24,CLEVELAND CAVALIERS,5,13,8,10,9,24,9,11,0,5,13,57,2019,0.471,9,EC,1.0,1.8
Sam Dekker,POWER FORWARD,24,WASHINGTON WIZARDS,14,49,20,36,44,71,37,27,7,19,34,230,2019,0.469,38,EC,0.9736842105263158,1.9473684210526316
Sam Dekker,POWER FORWARD,24,WASHINGTON WIZARDS,14,49,20,36,44,71,37,27,7,19,34,230,2019,0.458,38,EC,0.9736842105263158,1.9473684210526316
Sam Dekker,POWER FORWARD,24,WASHINGTON WIZARDS,14,49,20,36,44,71,37,27,7,19,34,230,2019,0.471,38,EC,0.9736842105263158,1.9473684210526316
Ángel Delgado,CENTER,24,LOS ANGELES CLIPPERS,0,0,1,2,2,2,0,1,0,0,2,3,2019,0.2,2,Unknown,0.0,
Matthew Dellavedova,POINT GUARD,28,MILWAUKEE BUCKS,4,11,4,4,0,10,29,2,0,11,9,20,2019,0.405,12,EC,2.4166666666666665,2.6363636363636362
Matthew Dellavedova,POINT GUARD,28,MILWAUKEE BUCKS,4,11,4,4,0,10,29,2,0,11,9,20,2019,0.316,12,EC,2.4166666666666665,2.6363636363636362
Matthew Dellavedova,POINT GUARD,28,MILWAUKEE BUCKS,4,11,4,4,0,10,29,2,0,11,9,20,2019,0.413,12,EC,2.4166666666666665,2.6363636363636362
Matthew Dellavedova,POINT GUARD,28,CLEVELAND CAVALIERS,40,119,38,48,6,61,152,12,2,57,66,262,2019,0.405,36,EC,4.222222222222222,2.6666666666666665
Matthew Dellavedova,POINT GUARD,28,CLEVELAND CAVALIERS,40,119,38,48,6,61,152,12,2,57,66,262,2019,0.316,36,EC,4.222222222222222,2.6666666666666665
Matthew Dellavedova,POINT GUARD,28,CLEVELAND CAVALIERS,40,119,38,48,6,61,152,12,2,57,66,262,2019,0.413,36,EC,4.222222222222222,2.6666666666666665
Luol Deng,SMALL FORWARD,33,MINNESOTA TIMBERWOLVES,14,44,25,35,20,53,18,15,8,14,24,157,2019,0.5,22,WC,0.8181818181818182,1.2857142857142858
DeMar DeRozan,SHOOTING GUARD,29,SAN ANTONIO SPURS,7,45,366,441,54,408,475,86,36,199,177,1635,2019,0.481,77,WC,6.1688311688311686,2.386934673366834
Marcus Derrickson,POWER FORWARD,22,GOLDEN STATE WARRIORS,10,20,4,5,8,5,1,0,1,3,9,46,2019,0.485,11,WC,0.09090909090909091,0.3333333333333333
Cheick Diallo,POWER FORWARD,22,NEW ORLEANS PELICANS,1,4,50,67,75,257,33,29,33,49,113,387,2019,0.62,64,WC,0.515625,0.673469387755102
